DRCOV VERSION: 3
DRCOV FLAVOR: drcov
Module Table: version 5, count 56
Columns: id, containing_id, start, end, entry, offset, preferred_base, checksum, timestamp, path
  0,   0, 0x0000000071000000, 0x00000000711c0000, 0x00000000710a2e70, 0000000000000000, 0x0000000071000000, 0x0019203b, 0x620aa6ec,  C:\ProjectA\DynamoRIO-Windows-9.0.1\lib64\release\dynamorio.dll
module[ 51]: 0x000000000002d77c,   9
module[ 51]: 0x000000000002d829,  63
module[ 51]: 0x000000000002d868,   5
module[ 51]: 0x000000000002d86d,  23
module[ 51]: 0x000000000002d864,   4
module[ 51]: 0x000000000002d88c,   7
module[ 51]: 0x000000000002d893,   4
module[ 51]: 0x000000000002d897,  16
module[ 51]: 0x000000000002d8ef,  15
module[ 51]: 0x000000000002d900,  17
module[ 51]: 0x000000000002d911,  14
module[ 51]: 0x000000000002d91f,  18
module[ 51]: 0x000000000002d931,  35
module[ 51]: 0x000000000002d95f,  26
module[ 51]: 0x000000000002d979,  39
module[ 51]: 0x000000000002d9a0,   9
module[ 51]: 0x000000000002d9a9,  23
module[ 51]: 0x000000000002d9c0,  13
module[ 51]: 0x000000000002d9cd,  13
module[ 51]: 0x000000000002d9f2,  53
module[ 51]: 0x000000000002da2a,   9
module[ 51]: 0x000000000002da33,  36
module[ 51]: 0x000000000002da57,   9
module[ 51]: 0x000000000002da60,  21
module[ 51]: 0x000000000002da75,  39
module[ 51]: 0x000000000002dacb,   8
module[ 51]: 0x000000000002db27,  54
module[ 51]: 0x000000000002dae3,  25
module[ 51]: 0x000000000002dca2,  21
module[ 51]: 0x000000000002dd74,  10
module[ 51]: 0x000000000002dda0,  52
module[ 51]: 0x000000000002ddd4,   6
module[ 51]: 0x000000000002dde9,  10
module[ 51]: 0x000000000002ddf3,  10
module[ 51]: 0x000000000002df89,  37
module[ 51]: 0x000000000002dfc8,  55
module[ 51]: 0x000000000002dfff,   5
module[ 51]: 0x000000000002e044,  49
module[ 51]: 0x000000000002e075,  25
module[ 51]: 0x000000000002e08e,  40
module[ 51]: 0x000000000002e0b6,   9
